#Code,Azimuth,Elevation,Calibration
53237,0,50,1
53240,0,50.53,1
53243,0,51.07,1
53246,-2.57,51.55,1
53249,0,51.6,1
53252,2.57,51.55,1
53255,-2.6,52.09,1
53258,0,52.13,1
53261,2.6,52.09,1
53264,-2.64,52.62,1
53267,0,52.67,1
53270,2.64,52.62,1
53273,-5.32,53.01,1
53276,-2.67,53.15,1
53279,0,53.2,1
53282,2.67,53.15,1
53285,5.32,53.01,1
53288,-5.39,53.55,1
53291,-2.7,53.69,1
53294,0,53.73,1
53297,2.7,53.69,1
53300,5.39,53.55,1
53303,-5.46,54.08,1
53306,-2.74,54.22,1
53309,0,54.27,1
53312,2.74,54.22,1
53315,5.46,54.08,1
53318,-5.53,54.61,1
53321,-2.77,54.75,1
53324,0,54.8,1
53327,2.77,54.75,1
53330,5.53,54.61,1
53333,-8.37,54.91,1
53336,-5.6,55.14,1
53339,-2.81,55.29,1
53342,0,55.33,1
53345,2.81,55.29,1
53348,5.6,55.14,1
53351,8.37,54.91,1
53354,-8.48,55.44,1
53357,-5.68,55.67,1
53360,-2.85,55.82,1
53363,0,55.87,1
53366,2.85,55.82,1
53369,5.68,55.67,1
53372,8.48,55.44,1
53375,-8.6,55.97,1
53378,-5.76,56.21,1
53381,-2.89,56.35,1
53384,0,56.4,1
53387,2.89,56.35,1
53390,5.76,56.21,1
53393,8.6,55.97,1
53396,-11.55,56.16,1
53399,-8.72,56.5,1
53402,-5.84,56.74,1
53405,-2.93,56.88,1
53408,0,56.93,1
53411,2.93,56.88,1
53414,5.84,56.74,1
53417,8.72,56.5,1
53420,11.55,56.16,1
53423,-11.71,56.69,1
53426,-8.84,57.03,1
53429,-5.93,57.27,1
53432,-2.97,57.42,1
53435,0,57.47,1
53438,2.97,57.42,1
53441,5.93,57.27,1
53444,8.84,57.03,1
53447,11.71,56.69,1
53450,-14.72,56.78,1
53453,-11.88,57.21,1
53456,-8.97,57.56,1
53459,-6.01,57.8,1
53462,-3.02,57.95,1
53465,0,58,1
53468,3.02,57.95,1
53471,6.01,57.8,1
53474,8.97,57.56,1
53477,11.88,57.21,1
53480,14.72,56.78,1
53483,-14.93,57.3,1
53486,-12.05,57.74,1
53489,-9.11,58.08,1
53492,-6.1,58.33,1
53495,-3.06,58.48,1
53498,0,58.53,1
53501,3.06,58.48,1
53504,6.1,58.33,1
53507,9.11,58.08,1
53510,12.05,57.74,1
53513,14.93,57.3,1
53516,-15.15,57.82,1
53519,-12.24,58.27,1
53522,-9.25,58.61,1
53525,-6.2,58.86,1
53528,-3.11,59.02,1
53531,0,59.07,1
53534,3.11,59.02,1
53537,6.2,58.86,1
53540,9.25,58.61,1
53543,12.24,58.27,1
53546,15.15,57.82,1
53549,-18.24,57.8,1
53552,-15.38,58.34,1
53555,-12.42,58.79,1
53558,-9.39,59.14,1
53561,-6.29,59.4,1
53564,-3.16,59.55,1
53567,0,59.6,1
53570,3.16,59.55,1
53573,6.29,59.4,1
53576,9.39,59.14,1
53579,12.42,58.79,1
53582,15.38,58.34,1
53585,18.24,57.8,1
53588,-18.52,58.32,1
53591,-15.61,58.86,1
53594,-12.62,59.32,1
53597,-9.54,59.67,1
53600,-6.4,59.93,1
53603,-3.21,60.08,1
53606,0,60.13,1
53609,3.21,60.08,1
53612,6.4,59.93,1
53615,9.54,59.67,1
53618,12.62,59.32,1
53621,15.61,58.86,1
53624,18.52,58.32,1
53627,-21.63,58.2,1
53630,-18.8,58.84,1
53633,-15.86,59.38,1
53636,-12.82,59.84,1
53639,-9.69,60.2,1
53642,-6.5,60.46,1
53645,-3.26,60.61,1
53648,0,60.67,1
53651,3.26,60.61,1
53654,6.5,60.46,1
53657,9.69,60.2,1
53660,12.82,59.84,1
53663,15.86,59.38,1
53666,18.8,58.84,1
53669,21.63,58.2,1
53672,-21.96,58.71,1
53675,-19.09,59.35,1
53678,-16.11,59.9,1
53681,-13.03,60.36,1
53684,-9.85,60.73,1
53687,-6.61,60.99,1
53690,-3.32,61.15,1
53693,0,61.2,1
53696,3.32,61.15,1
53699,6.61,60.99,1
53702,9.85,60.73,1
53705,13.03,60.36,1
53708,16.11,59.9,1
53711,19.09,59.35,1
53714,21.96,58.71,1
53717,-22.3,59.21,1
53720,-19.4,59.86,1
53723,-16.38,60.42,1
53726,-13.25,60.89,1
53729,-10.02,61.26,1
53732,-6.72,61.52,1
53735,-3.37,61.68,1
53738,0,61.73,1
53741,3.37,61.68,1
53744,6.72,61.52,1
53747,10.02,61.26,1
53750,13.25,60.89,1
53753,16.38,60.42,1
53756,19.4,59.86,1
53759,22.3,59.21,1
53762,-25.46,58.98,1
53765,-22.66,59.72,1
53768,-19.72,60.37,1
53771,-16.65,60.94,1
53774,-13.47,61.41,1
53777,-10.19,61.78,1
53780,-6.84,62.05,1
53783,-3.43,62.21,1
53786,0,62.27,1
53789,3.43,62.21,1
53792,6.84,62.05,1
53795,10.19,61.78,1
53798,13.47,61.41,1
53801,16.65,60.94,1
53804,19.72,60.37,1
53807,22.66,59.72,1
53810,25.46,58.98,1
53813,-25.86,59.47,1
53816,-23.02,60.22,1
53819,-20.04,60.88,1
53822,-16.93,61.46,1
53825,-13.7,61.93,1
53828,-10.37,62.31,1
53831,-6.96,62.58,1
53834,-3.5,62.75,1
53837,0,62.8,1
53840,3.5,62.75,1
53843,6.96,62.58,1
53846,10.37,62.31,1
53849,13.7,61.93,1
53852,16.93,61.46,1
53855,20.04,60.88,1
53858,23.02,60.22,1
53861,25.86,59.47,1
53864,-28.99,59.13,1
53867,-26.27,59.97,1
53870,-23.4,60.72,1
53873,-20.38,61.39,1
53876,-17.23,61.97,1
53879,-13.95,62.46,1
53882,-10.56,62.84,1
53885,-7.09,63.11,1
53888,-3.56,63.28,1
53891,0,63.33,1
53894,3.56,63.28,1
53897,7.09,63.11,1
53900,10.56,62.84,1
53903,13.95,62.46,1
53906,17.23,61.97,1
53909,20.38,61.39,1
53912,23.4,60.72,1
53915,26.27,59.97,1
53918,28.99,59.13,1
53921,-32.04,58.69,1
53924,-29.45,59.61,1
53927,-26.7,60.46,1
53930,-23.8,61.22,1
53933,-20.74,61.9,1
53936,-17.54,62.49,1
53939,-14.2,62.98,1
53942,-10.76,63.36,1
53945,-7.22,63.64,1
53948,-3.63,63.81,1
53951,0,63.87,1
53954,3.63,63.81,1
53957,7.22,63.64,1
53960,10.76,63.36,1
53963,14.2,62.98,1
53966,17.54,62.49,1
53969,20.74,61.9,1
53972,23.8,61.22,1
53975,26.7,60.46,1
53978,29.45,59.61,1
53981,32.04,58.69,1
53984,-32.53,59.17,1
53987,-29.92,60.1,1
53990,-27.15,60.95,1
53993,-24.21,61.72,1
53996,-21.1,62.41,1
53999,-17.85,63,1
54002,-14.47,63.5,1
54005,-10.96,63.89,1
54008,-7.36,64.17,1
54011,-3.7,64.34,1
54014,0,64.4,1
54017,3.7,64.34,1
54020,7.36,64.17,1
54023,10.96,63.89,1
54026,14.47,63.5,1
54029,17.85,63,1
54032,21.1,62.41,1
54035,24.21,61.72,1
54038,27.15,60.95,1
54041,29.92,60.1,1
54044,32.53,59.17,1
54047,-35.51,58.63,1
54050,-33.05,59.64,1
54053,-30.41,60.58,1
54056,-27.61,61.44,1
54059,-24.63,62.22,1
54062,-21.49,62.91,1
54065,-18.18,63.52,1
54068,-14.74,64.02,1
54071,-11.17,64.41,1
54074,-7.51,64.7,1
54077,-3.77,64.88,1
54080,0,64.93,1
54083,3.77,64.88,1
54086,7.51,64.7,1
54089,11.17,64.41,1
54092,14.74,64.02,1
54095,18.18,63.52,1
54098,21.49,62.91,1
54101,24.63,62.22,1
54104,27.61,61.44,1
54107,30.41,60.58,1
54110,33.05,59.64,1
54113,35.51,58.63,1
54116,-36.06,59.09,1
54119,-33.58,60.11,1
54122,-30.92,61.05,1
54125,-28.08,61.92,1
54128,-25.07,62.72,1
54131,-21.88,63.42,1
54134,-18.53,64.03,1
54137,-15.03,64.54,1
54140,-11.39,64.94,1
54143,-7.66,65.23,1
54146,-3.85,65.41,1
54149,0,65.47,1
54152,3.85,65.41,1
54155,7.66,65.23,1
54158,11.39,64.94,1
54161,15.03,64.54,1
54164,18.53,64.03,1
54167,21.88,63.42,1
54170,25.07,62.72,1
54173,28.08,61.92,1
54176,30.92,61.05,1
54179,33.58,60.11,1
54182,36.06,59.09,1
54185,-38.96,58.46,1
54188,-36.63,59.55,1
54191,-34.12,60.57,1
54194,-31.44,61.53,1
54197,-28.58,62.41,1
